system,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,251,295,252,296,253,297,254,298,255,299,256,257,258,259,260,261,262,263,264,265,266,267,300,268,269
CiirAll1,0.0094,0.0004,0.0816,0.0624,0.0222,0.0815,0.0302,0.3057,0.0006,0.1664,0.0944,0.0980,0.0004,0.0442,0.1075,0.1237,0.2046,0.1825,0.0617,0.0537,0,0.0005,0.1763,0.0251,0.0415,0.0806,0.0362,0.0147,0.0275,0.2818,0.0007,0.0352,0.0363,0.0001,0.0005,0.0713,0.0738,0.0156,0.0135,0.0380,0.0020,0.2032,0.0116,0.0885,0.0115,0.1733,0.1211,0.0200,0.0423,0.0079
CiirSdm,0.0037,0.0003,0.0154,0.1441,0.0020,0.0761,0.1065,0.0764,0.0016,0.1801,0.0230,0.0349,0.0345,0.1855,0.3249,0.2853,0.1785,0.5970,0.0920,0.0109,0,0.0007,0.1127,0.0473,0.1477,0.1322,0.1151,0.1204,0.1429,0.2389,0.1000,0.1161,0.3497,0.0001,1,0.0450,0.2804,0.0504,0.0138,0.0425,0.0354,0.0003,0.0025,0.0618,0.0601,0.1724,0.4007,0.0017,0.3214,0.0301
CiirSub1,0.0329,0.0058,0.0088,0.0016,0.1721,0,0,0.0291,0,0,0.0328,0.0008,0.0002,0,0.0102,0.0040,0,0.0024,0.0195,0.0007,0,0.0376,0.0153,0.0022,0.0630,0.0021,0.0030,0.0007,0.0022,0.0057,0.0002,0.0051,0.0038,0.2779,0,0.0001,0.0053,0.0001,0.0002,0.0000,0,0.0019,0.0599,0,0.0002,0.0205,0.0054,0.0278,0.0000,0.0000
CiirSub2,0.0310,0.0175,0.0121,0.0030,0.2525,0.0017,0.0017,0.0178,0.0002,0.0014,0.0194,0.0012,0.0002,0.0024,0.0150,0.0141,0.0059,0.0032,0.0166,0.0009,0,0.0322,0.0180,0.0044,0.0816,0.0033,0.0044,0.0010,0.0034,0.0082,0.0005,0.0082,0.0075,0.1779,0.0001,0.0007,0.0070,0.0019,0.0004,0.0010,0.0003,0.0011,0.0571,0.0007,0.0005,0.0236,0.0083,0.0041,0.0033,0.0008
CiirWikiRm,0.0050,0,0.0636,0.1190,0.0042,0.0526,0.0308,0.1496,0.0018,0.1806,0.0181,0.0510,0.0270,0.1655,0.2655,0.2163,0.2024,0.7107,0.0899,0.0198,0,0.0007,0.0860,0.0107,0.0009,0.1190,0.1389,0.0953,0.1170,0.3010,0.1111,0.1035,0.1131,0.0001,0.3333,0.0017,0.2463,0.0468,0.0157,0.0520,0.0034,0.0008,0.0098,0.0200,0.0376,0.1632,0.5311,0.0058,0.1658,0.0190
ICTNET14ADR1,0.0011,0.0155,0.0150,0.0302,0.0247,0.1977,0.0408,0.0004,0,0.0195,0.0070,0.0885,0,0.0097,0.0627,0.1841,0.0199,0.3160,0.0794,0.0307,0,0.0827,0.0798,0.0569,0.0330,0.0874,0.1411,0.4408,0.1485,0.2319,0,0.0558,0.1384,0.0002,0,0.0213,0.1363,0.2883,0.0079,0.0240,0.0029,0.0008,0.0000,0.0591,0.0023,0.1519,0.0646,0.0031,0.0409,0.1667
ICTNET14ADR2,0.0015,0.0164,0.0156,0.0172,0.0117,0.2176,0.0492,0.0004,0,0.0264,0.0043,0.0885,0,0.0071,0.0546,0.1936,0.0234,0.1968,0.0792,0.0340,0,0.0823,0.0699,0.0482,0.0236,0.0828,0.1411,0.4419,0.1400,0.1735,0,0.0432,0.1132,0.0002,0,0.0200,0.1320,0.2582,0.0041,0.0180,0.0026,0.0006,0.0000,0.0162,0.0021,0.1455,0.0664,0.0037,0.0122,0.1667
ICTNET14ADR3,0.0007,0.0205,0.0133,0.0344,0.0230,0.2662,0.0400,0.0005,0,0.0191,0.0061,0.0885,0,0.0173,0.0556,0.1713,0.0204,0.3153,0.0809,0.0486,0,0.0953,0.0773,0.0568,0.0362,0.0858,0.1411,0.4313,0.1377,0.2398,0,0.0674,0.1408,0.0002,0,0.0220,0.1379,0.2555,0.0167,0.0240,0.0022,0.0015,0.0000,0.0274,0.0031,0.1590,0.0657,0.0024,0.0606,0.1667
Protoss,0.0022,0.0105,0.0453,0.0545,0.0070,0.2817,0.1375,0.0061,0,0.1478,0.0146,0.1600,0,0.0290,0.2158,0.1879,0.1032,0.3269,0.1365,0.0059,0,0.0021,0.1510,0.1783,0.0782,0.1345,0.0225,0.2824,0.2091,0.2816,0,0.0602,0.3086,0.0055,0,0.0223,0.0979,0.0514,0.0402,0.0112,0.0833,0.0049,0.0020,0.1347,0.0774,0.1885,0.0951,0.0008,0.0808,0.0021
